Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
5d,2c,Ac,2d,Kd,1
6s,2c,9c,9h,8d,1
Kc,2h,Jh,Tc,7h,0
2s,7c,5d,4c,Qs,0
7s,Jd,Ad,Kc,9d,0
Td,4h,Kd,4s,7h,1
6s,6c,4s,2d,Kd,1
5c,4c,Qc,Ts,9h,4
8s,7d,3d,6d,2c,0
4c,Qc,5d,3d,9d,0
Js,9d,Kd,8d,As,0
9s,7c,4s,7h,9c,2
6h,2c,4c,6c,Jh,1
Qc,Qh,7s,2c,5h,1
5c,8s,Td,9d,8h,1
Ks,9c,Qh,Tc,6c,0
9c,2c,Ac,Qd,6h,0
8h,2d,5s,Ah,5h,1
9d,Ad,Ah,Tc,Td,2
9d,5s,Jc,2d,4h,0
Qh,3s,6d,7s,Qc,1
9c,Ts,4h,4d,Js,1
As,Ad,Ts,2d,8c,1
5h,2s,Kc,4h,8d,0
2h,9h,Qd,Tc,6h,4
5c,6s,Jc,9s,Qs,0
7d,As,Jh,3h,3c,1
3c,7h,6h,As,2s,0
5d,4d,Ah,3d,5c,1
Ad,3h,7s,9h,Ts,0
3c,Qh,2d,8s,7h,4
4s,7c,Qs,9d,6h,0
9c,8s,Qc,3h,6h,0
4h,9d,Kc,Kh,5h,1
9h,6h,5s,5c,8c,1
Tc,Ah,3d,9c,Ks,0
8h,Ad,6s,7s,Tc,0
As,Ac,Td,5d,3s,1
6s,4s,4h,3d,6c,2
9d,Jh,3d,3c,6h,1
Jd,Kh,6h,4d,9s,0
6s,4d,5s,Qs,9s,0
5h,Jc,6c,Jh,4d,1
7c,3h,3s,2c,3c,3
Kh,5d,3d,8c,Ah,0
Kd,7d,3s,5c,3c,1
3d,7d,7s,5s,9s,1
6h,3h,6s,5h,4c,1
2h,2d,8d,Ac,9c,1
2c,3c,2h,7s,Qc,1
Ks,4c,Js,7h,3h,0
2c,Qs,Tc,2h,Ac,1
5c,2d,5h,9h,Tc,1
Kd,6s,Qc,5d,Ks,1
8s,Kc,9c,Ts,4h,0
Ad,4d,7d,7s,8d,1
6s,Tc,Ah,8s,Jd,0
Td,7h,Qc,3d,Js,0
8h,Th,4d,Js,Qs,4
Ah,Kh,Js,8d,8c,1
Ts,2h,5c,7h,6h,0
Td,Kh,2s,Qc,8s,0
2c,5c,Ac,Jd,As,1
Tc,Ah,Qs,Js,7s,0
7c,Js,Qc,7s,5s,1
5h,5s,Ad,8c,7d,1
Qh,3h,Tc,Ks,5d,0
Jh,Qc,Qs,3s,2d,1
5h,9c,Qd,Kc,7d,0
5s,2c,8h,7d,Kh,0
9s,8d,8c,Js,Td,1
2h,6d,4s,2s,7c,1
3s,7d,8s,5c,3h,1
5s,7c,9h,Js,Ah,0
3d,9c,4d,5h,4c,1
Kc,8c,Th,3d,5s,0
3d,3h,3c,Ah,8d,3
Tc,4d,Qc,Jh,4c,1
4c,8s,As,7c,Kc,0
Ac,Kc,Kd,Qc,6c,1
2s,Qs,2h,8h,3d,1
Tc,2d,Jd,6h,Td,1
3h,8d,Ah,4c,3d,1
2s,Ah,4s,Tc,As,1
Qs,Ts,6s,Jh,2c,0
2c,8h,5d,Tc,Qd,0
8h,Ts,Kc,7h,9c,0
Ac,5h,3d,Ad,Qs,1
9h,9d,2d,Ac,7c,1
3c,Jc,7h,8c,6s,0
6s,2c,5d,8c,Kh,0
Tc,9h,2c,5d,Jd,0
Th,Ah,6c,Ac,2c,1
9c,Qs,8s,7h,3c,0
Jc,7s,5c,Th,4c,0
8h,Ts,Tc,3d,Ad,1
Ad,4h,5c,Kd,3c,0
3c,6c,8d,6s,6h,3
As,6c,Jd,Ad,6s,2
Ts,Td,Ah,5c,Qh,1
4c,2s,7d,Qd,6c,0
8h,6s,5h,Kd,3d,0
2d,4s,7s,7c,6d,1
Kc,7c,Ts,5h,As,4
Ah,3s,4h,Jh,Ad,1
Qc,As,6s,3h,Kd,0
9h,9d,4h,Tc,Ts,2
As,9s,Kc,6c,Tc,0
Tc,2c,Qd,4c,Kd,0
9h,Qc,8d,Tc,Jd,0
Qh,2h,Qc,9d,Td,1
Kc,Ad,6d,6c,9h,1
4h,Th,8s,3c,Qd,0
7h,9d,Tc,5d,7d,1
Qh,4s,As,4h,Ah,2
6d,5d,3c,Kc,6s,1
6d,8h,Jh,7c,9c,0
As,Td,9h,5s,3h,0
4c,2d,8s,4h,Qs,1
8d,Ac,4d,4h,Jd,1
2h,9h,Kd,9c,Ad,1
4d,Kh,8s,6c,Qs,0
6c,Ac,9h,Kd,Td,4
Jh,2s,Ts,Qd,7s,0
8d,8h,Ad,7h,Th,1
3h,Th,Kh,7c,Jc,0
5s,3d,9c,Ks,7d,0
2d,Td,6c,6d,Jh,1
9h,8s,7h,Qc,2h,0
2h,Tc,Qc,Qh,Jh,1
2s,7h,5s,7s,9d,1
4h,Th,5h,6h,4d,1
Kd,3s,Qd,3h,5c,1
Qs,6d,Jh,Jc,Ad,1
4c,9d,9c,6s,6h,2
9d,7d,7c,5h,9s,2
Jd,6c,7c,7h,3h,1
9d,6c,Ts,7s,3d,0
7d,Tc,Kh,8s,8c,1
Kc,4d,8d,3h,3c,1
4d,7s,6d,As,5s,0
Td,2h,Qs,6d,8s,0
2h,8h,9c,Js,7h,0
9s,2d,9h,4c,3d,1
2s,4d,8h,6d,6c,1
4h,7s,9s,4d,9h,2
7c,8d,2d,Kc,5s,0
3h,4s,9c,2s,6s,0
4h,Jc,4d,2h,Jh,2
8c,As,Jh,Ac,Td,1
Tc,5d,2s,7d,6h,0
Th,2c,6d,4d,Qh,0
8c,6d,8s,Jc,7c,1
9h,Jd,8d,Ah,Qh,0
3d,4h,Jd,5d,Td,0
6c,9s,8d,5h,Jc,0
5h,8h,Ac,6c,9s,4
5d,6d,Kc,8s,Qh,0
Jh,9d,3s,7s,Ac,0
2s,Kc,8h,Jh,Ks,1
Jc,6c,Td,Ts,Js,2
Ad,3d,4s,9d,Jh,0
9s,4h,5h,Jh,6h,0
8h,2d,6c,Kh,9s,0
7s,3h,2c,6c,Qc,0
3c,9s,Ac,5h,6d,0
9s,Kh,3s,6c,7h,0
7d,9s,2h,8c,As,0
Ad,Qd,6d,Qs,5s,1
5s,4d,Ac,Jc,3c,0
Kc,Qd,Qc,Qh,5h,3
Jd,Qc,Ad,3c,Qd,1
Kd,7c,3d,As,Qs,0
Qd,8s,Ah,4s,7c,0
9d,Kc,3d,8s,Td,0
Qd,8d,3h,Ks,2s,0
8s,Ac,2s,3h,3s,1
6s,4s,Jd,7d,7c,1
Qh,9d,8c,4d,Ks,0
Ah,6s,Jd,5s,9d,0
2d,5h,Td,6s,Jd,0
Ac,Th,2h,5c,Jd,0
Qc,4d,3c,6h,8d,0
Tc,4h,Kh,6h,Th,1
Kc,Ac,9d,Qc,Kh,1
9c,Kc,4c,7c,5d,0
Ks,2h,5c,Kc,5s,2
9d,Kc,4d,Ks,5c,1
Ks,6d,9d,Qh,4h,0
Ad,4h,5h,2c,8d,0
2h,5h,6h,5c,3s,1
Jc,5h,9s,As,4s,0
5c,9d,7h,2h,6s,0
9d,8d,5h,5c,3s,1
2d,5h,9s,2c,Qd,1
9s,8s,6s,4h,Kh,4
Qh,2c,3d,8c,4s,0
9d,5s,Qs,3c,8h,0
9s,5s,8s,Js,2d,0
Qc,Ac,5s,2c,6h,0
2s,Kc,Jh,Td,Tc,1
Qc,7s,5c,4h,Kh,0
Jd,5h,Ah,5c,4s,1
As,9d,Jc,Ks,7h,0
3c,7d,Jc,8s,Ts,0
6s,Th,6d,Jh,4d,1
2h,3s,Td,5h,Th,1
2s,6d,Qh,9c,Ah,0
Jh,2c,Ac,Kc,6h,0
8h,9s,2c,9d,Qc,1
5d,9c,2s,2h,3s,1
9c,2h,3s,Tc,8d,0
7c,Ad,Td,4c,Qs,0
Ah,8h,4s,6c,Tc,0
6d,Ah,7h,4s,Qs,0
7d,Ks,8h,5s,2s,0
Ts,5c,8c,3s,6s,0
Ad,9s,As,5h,4d,1
2c,As,Jh,5s,Qh,0
Ac,Ad,Jc,Kd,5d,1
3c,Tc,4h,4c,Qc,1
Js,Jc,4s,7h,Td,1
6s,Tc,Th,Js,Qd,1
8h,Kd,Qd,Ah,Qc,1
Ks,Th,Kh,7c,7s,2
Qd,Ah,4s,6d,Ac,1
7h,Kc,7d,6s,6h,2
Qc,Qd,Qh,4c,Js,3
5h,6s,5s,3s,3d,2
8h,3s,7c,3h,2d,1
7c,Ad,2h,As,Qs,1
8h,Ks,5c,3s,3d,1
Kh,Qh,As,8c,Jh,0
2d,9d,8c,Ks,Js,0
5h,6c,9h,Jd,5d,1
Jc,6h,8c,Td,7d,0
Qd,8s,3d,Td,3s,1
7h,Td,9d,Kd,4s,0
5s,2c,2d,6c,Ah,1
Jd,5h,Qd,Ac,Ad,1
7h,8c,Qd,Js,4s,0
7h,3s,3c,5s,Ks,1
Ts,Ks,Qh,7d,8c,0
As,4h,Ac,8c,Kc,1
Ks,6d,3c,7s,Jc,0
Kh,5d,Tc,3s,Ah,0
Ah,2c,5c,Qc,7c,0
Qs,Ad,9s,3c,Jh,0
5d,Qh,9s,6h,Jh,0
3c,9d,4d,5s,As,4
5c,6d,Qs,7s,Ah,0
Jh,Qs,9s,As,9h,1
2h,5h,9c,8d,8s,1
5s,Th,Kh,4d,5c,1
3d,6d,Ts,7c,Td,1
8s,4c,3h,4s,Jc,1
8h,Kh,8d,5h,Jc,1
4h,Qc,Ts,7d,7s,1
Ah,5d,3c,7c,6d,0
4h,2d,Qd,Kd,7h,0
Qc,8h,5h,6h,7c,0
3s,Qd,Jh,4s,8s,0
2d,Jd,3h,8h,6d,4
Qd,6c,7h,8s,4d,0
4c,5h,2d,Ac,9d,0
5h,6d,9h,Ts,3h,0
Kc,Kd,7d,7s,9s,2
5s,8c,Jh,Qd,9h,4
9c,7h,2h,Ah,Kc,4
7d,8d,4h,Jd,Jh,1
Kc,9d,Qd,4h,9c,1
3h,9c,Jh,9h,2s,1
9s,3s,Ac,3c,6h,1
6h,7c,8s,Qd,4s,0
5h,6s,8d,2c,Js,0
3d,Ts,Qd,6d,7h,4
Ac,3s,Th,Kc,8h,0
9d,5s,2h,6s,Ks,4
7c,5h,8s,Ad,9c,0
Ks,6h,7d,8c,9d,0
8h,6d,Kd,Js,Jc,1
4c,Qc,Jh,6s,2h,0
4c,8c,6d,8d,3d,1
Qc,2c,8s,Td,Js,0
Qc,8d,5c,Kd,Qd,1
4s,8c,9s,Jh,4d,1
2c,Jd,Ad,3h,3d,1
7d,2c,3d,6s,3s,1
Kc,7c,Ah,Ks,6d,1
8h,Jd,Jc,5h,Qc,1
8h,Qs,7h,5d,2s,0
9c,Qd,2h,Jc,Qh,1
6s,3d,8d,7s,9s,0
Qc,Jh,Jc,5c,5s,2
8h,2d,7s,6d,Ac,0
3h,Th,Ts,8s,4c,1
8s,3d,5h,9s,4h,0
3h,8h,Qs,3d,Td,1
8c,Kh,8h,Qh,7s,1
7s,Qh,6h,4s,Jh,4
2d,9c,Ts,5h,6c,4
9s,5h,4h,5d,8c,1
9h,7c,2h,Kc,5c,0
7d,As,8h,Th,5h,0
Tc,5h,2s,5d,9s,1
2d,Td,8d,8s,5h,1
4s,6c,Ac,4c,2d,1
Jh,8s,6s,6c,Jc,2
5d,9c,4d,9d,Qh,1
7h,4d,Ac,9h,3h,0
Jd,6s,8c,Ah,2s,0
8d,Jd,Ks,6c,9d,0
2s,Jh,5h,8s,2d,1
3c,Tc,Ts,8h,Kd,1
3d,5h,Th,8s,Ac,0
Jc,9s,Ks,7c,7s,1
6s,4h,Td,3c,2h,0
2c,Ts,8s,3s,Ah,0
5s,3c,5c,Th,3s,2
Qd,8c,3c,Qc,5h,1
3h,5s,2s,9h,Ad,0
6c,2d,9c,7s,2s,1
Tc,Qd,7d,9s,3h,0
6h,4s,9c,6s,Ks,1
7h,4s,Qc,5h,3d,0
9h,5h,Jc,6h,Ah,0
Ts,Js,4s,8c,7s,0
Kd,5c,8c,4d,Jd,0
6d,8s,Kc,3c,6s,1
3h,9h,2c,4c,Jc,0
2s,9d,Ts,Ac,Ks,0
8d,2d,Ad,2h,Kd,1
Ks,9s,3c,Ah,8c,0
Kd,6d,2s,5d,9s,0
Td,Kc,3c,6c,5d,0
7c,6s,Kh,2s,8s,0
4s,4c,Kc,9d,7c,1
5c,6c,Kd,Tc,4h,0
2c,9d,Ks,5s,7d,0
Ks,Ad,3h,Kh,7d,1
9d,Qd,9c,3d,5c,1
5s,7s,Tc,Td,Kd,1
3s,6s,Qs,3c,4s,1
Ah,9c,Tc,8d,4d,0
8d,Js,Qh,8s,5c,1
7d,Jc,8h,Ts,9d,0
Td,6h,7s,Qd,Qs,1
3h,2d,6s,9s,7h,4
5d,9d,6d,Js,Tc,0
5h,Jc,Tc,4s,Qs,0
Ad,5s,8s,7s,7h,1
Ah,7d,9s,7s,6s,1
2s,4d,9h,9c,Th,1
3h,5c,8h,Ts,Jc,0
Ac,5d,Qc,Kd,6h,0
9h,Ac,Th,As,Ks,1
3d,7c,4c,9s,9d,1
6s,4d,4c,9s,3c,1
4s,5s,Ad,9c,2h,0
Jc,Js,Tc,6h,6c,2
Kh,8d,2s,Td,Js,0
Jd,3h,Tc,9h,2d,0
Ad,9d,3s,Tc,3h,1
Ts,7s,Qh,5s,5h,1
9d,Tc,4s,2c,Ah,0
8h,7d,7s,Kd,4c,1
Th,Qs,Jh,Jc,Kh,1
7c,2d,3s,Qs,3d,1
Kc,Jc,Js,7c,3c,1
7c,Jd,6c,9d,4c,0
2d,Kc,7c,5c,8h,0
4h,7c,9c,Js,2h,0
7d,Jd,Ah,4h,7h,1
Qc,Js,8c,Jc,3c,1
6d,Kc,7h,8s,3c,0
8h,5c,Qh,5d,Tc,1
Td,Ac,8c,Ah,3d,1
8c,8s,3d,2c,9d,1
8d,9d,Js,7c,4d,0
4c,2s,5h,2c,Js,1
5d,2d,Qs,8c,3c,0
6c,Ad,2s,4d,9h,0
6s,8h,5h,8s,9s,1
8h,2c,7c,As,5s,0
Qd,Td,Kc,8h,Ah,0
5d,5h,6h,7d,9c,1
Ac,3h,5s,6h,Jh,0
Jc,Ac,Js,6s,Kd,1
9d,5c,3s,5d,Ts,1
5d,5s,7h,3s,6s,1
Kh,3c,5c,7c,8s,0
7h,Qh,9h,Ks,Kc,1
2d,Th,8h,Ad,Js,0
8d,5c,9s,As,Th,0
5h,Kd,Td,Th,7h,1
8h,7d,7h,2d,Qs,1
Qs,Qh,7d,5h,3d,1
Kd,2d,Qh,5d,3c,0
7s,Jc,6s,5d,Kc,0
3c,Tc,8d,2h,5d,0
Td,2h,8h,4c,9d,0
3h,Jc,9c,As,Tc,0
8d,Ts,Th,Td,Ks,3
Ts,5h,Jh,5s,2d,1
Kh,7s,9d,2s,8s,0
Td,Ad,4d,8d,6h,0
3s,4h,5s,2c,Kd,0
2h,6d,Qs,Qc,7h,1
3c,3h,6d,2s,Tc,1
3d,4d,Td,9d,Ah,0
3c,9d,8c,Jh,2s,0
6s,9s,Js,2s,8h,0
3c,2h,8s,Ks,7s,4
6c,Qh,8c,9h,5c,0
9d,2s,5h,Js,Qc,0
Th,6c,2c,Ks,Kc,1
Ah,4h,6h,3s,2c,0
5c,5s,6c,Kd,2c,1
Qc,2s,4c,Jh,Jc,1
9h,3c,3h,4d,8s,1
9d,Ah,8c,Qs,Jh,0
Qh,5d,8h,5s,6d,1
Td,7d,4h,5s,5c,1
9d,3s,Jc,2c,8s,0
8c,8d,Kd,5c,8s,3
2d,Td,5h,9h,5s,1
2d,6d,6s,Kh,4s,1
2s,9s,7d,Qd,Kh,0
Ts,2d,5d,3s,5s,1
6h,7d,3s,7c,Tc,1
3s,9h,Ah,As,Td,1
Ts,8c,Th,9h,Qs,1
3c,7c,Jc,8h,9d,0
6d,9s,7d,2s,Qd,0
8s,5h,9h,7d,Jh,0
8c,5c,Jd,3s,Td,0
6c,Qh,Ks,7s,7d,1
3h,7c,As,Tc,Ts,1
8s,Qh,7s,Jd,5c,0
9h,6s,3s,5d,7d,0
Ts,Kd,6c,9s,Qh,0
Ad,Jc,9d,As,9s,2
5h,9d,Js,7d,9h,1
6c,Kh,3h,Qc,6d,1
Qd,Ac,2d,5c,7h,0
Js,Qd,2d,Td,Jh,1
Jd,As,Ad,2c,5s,1
7s,5d,Th,Ad,8s,0
Kh,4h,Qh,Td,3c,0
2h,3c,7c,9s,Ad,0
Qc,6s,6h,7h,Kc,1
Ks,7s,6d,Ts,4d,0
5d,4c,7d,Td,Qs,0
9d,As,5h,4s,8h,0
8d,6h,Jd,6d,Qh,1
2h,6c,2c,Th,Ks,1
3d,Qh,Ad,5s,8c,0
2d,8c,8h,4s,4d,2
8s,Qh,Kd,Td,4h,0
9d,Th,Ad,Jd,6h,0
Tc,4c,Kc,Kh,6s,1
Kh,As,6s,6h,7c,1
Th,7s,6h,5h,5c,1
4h,4s,8d,3h,5c,1
2d,Kh,3d,8h,Ts,0
7c,8s,Ts,6s,6c,1
Ad,9c,Qh,4d,6d,0
8d,4d,Jh,Th,8s,1
Kh,9s,4s,Js,6c,0
4h,Kc,Jc,8d,6s,0
As,Ad,Ac,Qh,9d,3
5h,9c,2h,3c,3d,1
7h,6h,7d,9h,2s,1
6c,7c,6d,6h,Jc,3
As,2s,Jc,6h,3d,0
Kd,7s,Qs,Th,Jh,0
Kd,2s,Ah,3h,8c,0
6d,5c,7c,Js,4s,0
7c,9d,Ks,Jh,Ah,0
6h,8c,4d,9s,Qd,0
Qd,2h,Qc,2d,Qh,6
4c,Ah,5d,6h,Td,0
4h,8h,6s,Td,2d,0
4h,Qc,Ac,Kh,9h,0
7s,Kd,As,4h,Ks,1
5s,9c,3d,6h,6c,1
2c,2h,4s,Kd,6h,1
9s,4s,2d,Ks,5d,0
9d,3c,6d,8h,Qd,0
6d,Jh,3c,8c,8h,1
Jc,6s,Kh,8h,6c,1
Qh,3h,8d,Kh,Kc,1
5h,4d,7d,Jc,Jh,1
5c,Ah,2d,Ac,Ts,1
3d,8s,As,4h,2s,0
6s,Kh,4h,Qs,Qd,1
Qs,Jd,Qd,9d,Qh,3
8s,Ts,Kd,3s,5s,0
Td,5c,Qs,Ks,8d,0
5c,2c,Ac,9s,Th,0
5s,Jh,Qd,2c,Qs,1
Js,7s,9c,Ac,3s,0
Ac,9s,Jd,8d,Ad,1
Th,Ts,2d,3c,Kh,1
5d,2s,Ah,Ac,4h,1
Ad,Th,5d,Ks,2h,0
Js,Kc,5c,Qs,2c,0
Tc,Jc,As,7d,Kd,0
4c,As,Kc,8d,Qc,0
5c,Ks,As,Jh,Jc,1
9s,7h,Td,5d,2c,0
7d,9s,Kc,Ad,7c,1
Ac,5h,2d,6c,Td,0
Qd,6c,5d,4h,5c,1
Qs,Jh,7d,7s,Ad,1
As,2c,4d,Ad,Js,1
8h,7d,7h,6d,8c,2
Qc,9c,9h,6c,7h,1
7h,4s,9s,Ks,7d,1
5s,5h,9c,Kd,4s,1
6h,2h,Ac,Js,Jh,1
3h,2h,5d,Ah,9s,0
5d,8h,2s,Qs,6d,0
8s,Ac,2h,Ad,8d,2
4s,Th,8h,Ks,Td,1
Jh,Kh,4d,Kd,6c,1
7s,8d,Js,Qs,Qd,1
3s,3c,Th,As,Qd,1
8c,Ad,Ac,Qh,5h,1
7c,8s,9h,8c,9s,2
9s,8d,2h,2c,Qh,1
2d,Ks,8c,Tc,7s,0
3d,2h,2c,7s,5s,1
Tc,8d,Jc,4h,Js,1
4c,Jh,Th,6c,Td,1
5d,6c,Qh,6s,Ac,1
Ad,9c,4s,2s,3c,0
2s,9c,4h,Ts,7h,0
4s,2h,5d,Ks,9h,0
8c,Ah,8s,3d,9c,1
9c,9d,5h,8s,Qd,1
5s,Tc,5h,9s,Kh,1
3d,2c,2h,7c,Qd,1
3c,Ah,Kh,Tc,Jc,0
7c,Ts,9h,Tc,9s,2
Ad,3d,3h,Jh,Jd,2
2h,Kh,Ac,3d,Js,0
9h,Jh,Js,Ts,As,1
Ks,Js,Qd,9s,3s,0
4d,7h,Tc,6d,Td,1
3c,4h,Kc,7s,3d,1
Qh,Ac,Ts,8d,Qc,1
3s,2d,Qc,8d,Kc,0
Qd,3h,5c,6c,4h,0
4h,Kh,Qc,5c,5s,1
Td,9d,3c,Ad,3h,1
Qh,5d,4h,3d,7c,0
8c,2h,3s,3h,5s,1
5d,As,5h,6h,5c,3
Ks,2h,6s,2c,5h,1
Jh,Qd,Qs,2s,Ad,1
8d,6d,Jd,7h,4s,0
Th,Jc,7c,3d,6s,0
9c,8s,2c,8d,Kd,1
4d,Td,6d,7c,As,0
6s,9s,4s,8c,Ad,0
Kh,3d,Qd,Ah,2s,0
Ah,Kh,5c,9h,9s,1
5h,5d,6d,Td,Qc,1
3h,4c,Ah,8s,8c,1
8c,5d,4s,6d,Th,0
5h,7d,2h,4c,4h,1
2h,2s,Ac,5s,Js,1
4c,2c,4h,Qs,9d,1
7c,Jc,Jh,Jd,Ah,3
5h,6h,9h,4h,5d,1
Ks,7c,Jc,5h,9c,0
Ah,Ts,8h,Kh,Ac,1
7d,4d,Qc,Jd,Ah,0
8c,6h,Qd,Kh,3d,0
6h,Tc,9s,Qh,3h,0
7c,Qc,Ks,7s,2s,1
Td,9s,Jd,Tc,8c,1
Kh,6d,Qc,7s,7d,1
2s,2c,5c,Kh,9h,1
3h,2s,7h,Kc,Js,0
Ad,6d,Td,Ks,2h,0
Qd,2s,As,7d,4h,0
Kd,2h,7d,Kh,9c,1
Kh,As,3s,Jc,Kc,1
2c,5s,Kd,8d,4s,0
Th,2h,8s,Js,6c,0
6d,2s,4s,Ah,As,1
3c,Kh,5s,7h,Js,0
7d,4d,5c,Tc,3s,0
8h,As,2d,8d,Tc,1
Ks,3h,5s,3s,9h,1
2s,4h,6h,Qc,4c,1
6c,Td,2s,4h,Th,1
7h,9c,9h,Kd,3s,1
5h,8d,Ah,5d,6h,1
8d,3h,5c,4c,Jc,0
2s,Qd,Ah,Th,Kc,0
Jd,2h,9h,8c,6d,0
5d,Qh,Ts,6d,Qs,1
8d,7d,3d,6d,Td,5
Jd,6d,9s,5h,Th,0
Th,8h,7s,Jc,7h,1
Jh,Qc,Ad,7s,5h,0
5s,7d,6s,6c,2d,1
2d,3c,7c,4h,2c,1
Qh,Jc,4d,8s,Ac,0
Kd,Td,4h,4d,Qd,1
Js,3h,4d,As,3c,1
Ad,5h,2s,Jd,Qs,0
Ac,3d,7h,7d,3s,2
3d,2s,6h,Kh,4s,0
8h,5s,Js,Ac,Kh,0
8h,Kh,8d,6h,Td,1
3s,9c,2h,Js,8s,0
Tc,Kc,3s,2h,Jh,0
6s,9c,4d,9h,Kc,1
9h,7d,4c,8c,9d,1
7s,6h,4c,Kc,6c,1
7s,7c,9d,7h,Ks,3
9c,6c,9s,9d,Jc,3
5s,9s,2d,Ad,Jd,0
3h,Kd,2c,3s,Qs,1
Ah,2d,7d,6d,8s,0
7d,3d,6s,5h,Kh,0
Ah,6s,9h,3h,Jd,0
2s,Tc,7d,Ac,As,1
As,5s,5d,Ks,Ts,1
Qh,5d,Kh,3h,Qs,1
5s,Kc,Ad,2h,Ah,1
Kh,Kd,2d,2s,As,2
Jd,Jc,8s,9c,6h,1
Jc,Js,Td,As,6h,1
Tc,4h,Ad,Ac,8s,1
4c,Jc,4d,Ah,4h,3
4c,5h,Qh,Qd,6c,1
6h,8s,3s,9c,4d,0
8d,Ts,3d,5h,2s,0
Kd,Qd,Qs,3c,7d,1
3d,8h,4d,6d,Ad,0
5s,2d,Qs,7s,6d,0
6d,Ts,Ac,Kd,3d,0
Kh,8s,Qh,4h,Ac,0
Kh,7d,Qh,2c,3d,0
Kh,8c,9d,8d,2h,1
8c,3c,2s,7h,Qd,4
Qd,As,8s,Js,4c,0
4c,Ts,Qh,Qd,Kd,1
Qd,Qh,7c,Kd,4h,1
5h,3h,9h,Kd,8c,0
4d,9c,6c,2c,5d,0
As,Qs,5s,7s,4d,0
Ad,2c,Ks,Ts,5c,0
6d,Kh,8h,6c,Th,1
7d,Qc,7h,Tc,2h,1
6h,4h,Ah,5h,8c,0
6s,2c,2s,3h,Jd,1
3h,4c,Ts,Ac,Th,1
Kh,4d,Js,Th,7d,0
8h,2h,7d,2s,Kd,1
3s,Jh,4c,Jd,8s,1
4d,3d,3h,5d,7c,1
2s,Js,2h,4h,Jc,2
